year,week,winner,winner_corr,day,day_corr,date,date_corr,time,time_corr,pts_win,pts_loss,home_team_name,home_team_name_corr,away_team_name,away_team_name_corr,game_attendance,home_team_previous_year_performance,away_team_previous_year_performance,home_team_current_year_performance,away_team_current_year_performance,home_team_current_sos,away_team_current_sos,stadium_name,stadium_name_corr,stadium_max_capacity,stadium_regular_capacity,home_city,home_city_corr,weather_condition,weather_condition_corr
2017,3,Washington Redskins,-0.00715552968889354,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,20:30:00,0.06335423773051325,27,10,Redskins,0.0034421976477586784,Raiders,-0.03829743369941238,77123.0,2.0,3.3,-1.3,-4.7,1.6,-0.2,Northwest,0.0034421976477586784,67617,67617,"Landover,MD",0.0034421976477586784,Clear,0.05220517572910981
2017,3,Dallas Cowboys,0.26667352470084166,Mon,0.06245640168307258,2017-09-25,-0.006284384005116037,20:30:00,0.06335423773051325,28,17,Cardinals,-0.07337795963540625,Cowboys,0.06180649893005572,65102.0,1.6,7.0,-3.7,1.6,0.4,0.2,State Farm,-0.07337795963540625,72200,63400,"Glendale,AZ",-0.07337795963540625,Clear,0.05220517572910981
2017,4,Green Bay Packers,0.15691144722134212,Thu,0.06372022105950415,2017-09-28,0.03717169299666599,20:25:00,0.029557288829174022,35,14,Packers,0.17776010768863618,Bears,0.023942515836268757,78362.0,2.8,-7.5,-1.9,-1.3,2.1,2.2,Lambeau Field,0.17776010768863618,81441,79704,"Green_Bay,WI",0.17776010768863618,Cloudy,-0.05709445713883091
2017,4,New Orleans Saints,0.07958403846067784,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,09:30:00,0.11085488016632726,20,0,Dolphins,-0.02610129979864759,Saints,0.03270381741713108,84423.0,-2.4,1.5,-6.3,9.2,0.7,1.5,Hard Rock,-0.02610129979864759,70000,64767,"Miami_Gardens,FL",-0.02610129979864759,Clear,0.05220517572910981
2017,4,Carolina Panthers,0.058229187994587935,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,33,30,Patriots,-0.018609466599414023,Panthers,-0.004285326042874078,65878.0,9.3,-1.0,8.9,4.3,-1.2,2.1,Gillette,-0.018609466599414023,71000,65878,"Foxborough,MA",-0.018609466599414023,Clear,0.05220517572910981
2017,4,Houston Texans,0.013625463459506893,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,57,14,Texans,0.0777784352564361,Titans,0.009366383428693701,71804.0,-2.6,-1.0,-6.4,-3.5,-0.3,-2.1,NRG,0.0777784352564361,75000,72220,"Houston,TX",0.0777784352564361,Cloudy,-0.05709445713883091
2017,4,Cincinnati Bengals,-0.1462605677260218,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,31,7,Browns,-0.021626576578652124,Bengals,-0.01404984046464929,67431.0,-10.1,1.0,-11.0,-5.0,0.0,-1.3,Huntington Bank,-0.021626576578652124,54147,50805,"Cleveland,OH",-0.021626576578652124,Clear,0.05220517572910981
2017,4,New York Jets,0.0781586584146469,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,23,20,Jets,0.17935967860288793,Jaguars,-0.004095822737109214,77562.0,-8.5,-5.0,-4.9,6.5,0.3,-2.8,MetLife,0.2372130118726431,83367,82500,"East_Rutherford,NJ",0.2372130118726431,Clear,0.05220517572910981
2017,4,Los Angeles Rams,0.03748991445516064,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,35,30,Cowboys,0.40325138174251995,Rams,0.02378289835650251,91869.0,7.0,-11.1,1.6,9.2,0.2,-0.2,AT&T,0.40325138174251995,85000,80000,"Arlington,TX",0.40325138174251995,Clear,0.05220517572910981
2017,4,Detroit Lions,-0.02749422929186968,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,14,7,Vikings,-0.003678779619763062,Lions,-0.0009421888709224119,66730.0,0.9,-1.4,9.1,2.7,1.0,0.6,US Bank,-0.003678779619763062,73000,66655,"Minneapolis,MN",-0.003678779619763062,Rain,0.015868728319930726
2017,4,Pittsburgh Steelers,-0.08850739721311748,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,26,9,Ravens,0.057536901152142675,Steelers,-0.03477294390151369,71126.0,1.5,4.7,3.4,5.0,-2.4,-1.1,M&T Bank,0.057536901152142675,70745,70745,"Baltimore,MD",0.057536901152142675,Cloudy,-0.05709445713883091
2017,4,Buffalo Bills,0.029258590798860923,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,13:00:00,0.018938556585168822,23,17,Falcons,0.08368428200778101,Bills,0.01636102515903889,71273.0,8.5,-0.3,4.3,-4.0,1.9,-0.5,Mercedes-Benz,0.08368428200778101,79330,71000,"Atlanta,GA",0.08368428200778101,Clear,0.05220517572910981
2017,4,Philadelphia Eagles,0.06539442943088376,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,16:05:00,-0.30315790509802293,26,24,Chargers,-0.6042582258808916,Eagles,0.08512627311222101,25374.0,0.1,3.8,3.6,9.4,-1.5,-0.7,Dignity Health Sports Park,-0.6042582258808916,27000,27000,"Inglewood,CA",-0.40483475510523304,Clear,0.05220517572910981
2017,4,Arizona Cardinals,-0.025122224600233268,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,16:05:00,-0.30315790509802293,18,15,Cardinals,-0.07337795963540625,49ers,-0.032833761328185454,64121.0,1.6,-11.2,-3.7,-2.9,0.4,0.4,State Farm,-0.07337795963540625,72200,63400,"Glendale,AZ",-0.07337795963540625,Clear,0.05220517572910981
2017,4,Tampa Bay Buccaneers,-0.10765876447555868,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,16:05:00,-0.30315790509802293,25,23,Buccaneers,-0.1893730010163946,Giants,0.04790755217067995,63916.0,-0.2,2.1,-1.3,-7.6,1.7,1.3,Raymond James,-0.1893730010163946,74512,69218,"Tampa,FL",-0.1893730010163946,Rain,0.015868728319930726
2017,4,Denver Broncos,-0.00023014199356097587,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,16:25:00,0.05359421020612981,16,10,Broncos,0.15040982233654798,Raiders,-0.03829743369941238,76909.0,4.0,3.3,-6.7,-4.7,-0.9,-0.2,Empower Field at Mile High,0.15040982233654798,76125,76125,"Denver,CO",0.15040982233654798,Cloudy,-0.05709445713883091
2017,4,Seattle Seahawks,0.05208519069417401,Sun,-0.08153542351275765,2017-10-01,0.025630597619162667,20:30:00,0.06335423773051325,46,18,Seahawks,0.032110176237064976,Colts,-0.05775242720128423,68872.0,2.1,0.4,1.9,-10.1,-0.2,-1.3,Lumen Field,0.032110176237064976,72000,68740,"Seattle,WA",0.032110176237064976,Cloudy,-0.05709445713883091
2017,4,Kansas City Chiefs,0.027750628132671016,Mon,0.06245640168307258,2017-10-02,0.024800147696384924,20:30:00,0.06335423773051325,29,20,Chiefs,0.12218130123408712,Redskins,0.0409326079165612,74587.0,5.6,2.0,3.4,-1.3,-1.3,1.6,Arrowhead,0.12218130123408712,76416,76416,"Kansas_City,MO",0.12218130123408712,Clear,0.05220517572910981
2017,5,New England Patriots,0.022078595515729698,Thu,0.06372022105950415,2017-10-05,-0.008335930325109703,20:25:00,0.029557288829174022,19,14,Buccaneers,-0.1893730010163946,Patriots,0.04477429500403753,64476.0,-0.2,9.3,-1.3,8.9,1.7,-1.2,Raymond James,-0.1893730010163946,74512,69218,"Tampa,FL",-0.1893730010163946,Cloudy,-0.05709445713883091
2017,5,Miami Dolphins,-0.05159505697023815,Sun,-0.08153542351275765,2017-10-08,-0.0006728308742753578,13:00:00,0.018938556585168822,16,10,Dolphins,-0.02610129979864759,Titans,0.009366383428693701,65135.0,-2.4,-1.0,-6.3,-3.5,0.7,-2.1,Hard Rock,-0.02610129979864759,70000,64767,"Miami_Gardens,FL",-0.02610129979864759,Cloudy,-0.05709445713883091
2017,5,Indianapolis Colts,-0.06874522043641333,Sun,-0.08153542351275765,2017-10-08,-0.0006728308742753578,13:00:00,0.018938556585168822,26,23,Colts,-0.09404604598349998,49ers,-0.032833761328185454,65612.0,0.4,-11.2,-10.1,-2.9,-1.3,0.4,Lucas Oil,-0.09404604598349998,70000,63000,"Indianapolis,IN",-0.09404604598349998,Cloudy,-0.05709445713883091
2017,5,Cincinnati Bengals,-0.1462605677260218,Sun,-0.08153542351275765,2017-10-08,-0.0006728308742753578,13:00:00,0.018938556585168822,20,16,Bengals,-0.2710597933741295,Bills,0.01636102515903889,52367.0,1.0,-0.3,-5.0,-4.0,-1.3,-0.5,Paycor,-0.2710597933741295,67260,65515,"Cincinnati,OH",-0.2710597933741295,Rain,0.015868728319930726
